name,img
الاتحاد,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/الاتحاد.png
الأهلي,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/الأهلي.png
الدحيل,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/الدحيل.png
السد,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/السد.png
الشارقة,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/الشارقة.png
الشرطة,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/الشرطة.png
الغرافة,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/الغرافة.png
الهلال,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/الهلال.png
الوحدة,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/الوحدة.png
أولسان هيونداي,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/أولسان هيونداي.png
بوريرام يونايتد,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/بوريرام يونايتد.png
تراكتور,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/تراكتور.png
تشنغدو رونغتشنغ,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/تشنغدو رونغتشنغ.png
جوهور دارول تاكزيم,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/جوهور دارول تاكزيم.png
سانفريتشي هيروشيما,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/سانفريتشي هيروشيما.png
سيئول,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/سيئول.png
شباب الأهلي,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/شباب الأهلي.png
شنغهاي بورت,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/شنغهاي بورت.png
شنغهاي شنهوا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/شنغهاي شنهوا.png
غانغوون,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/غانغوون.png
فيسيل كوبي,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/فيسيل كوبي.png
ماتشيدا زيلفيا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/ماتشيدا زيلفيا.png
ميلبورن سيتي,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/ميلبورن سيتي.png
ناساف كارشي,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/asia-champions-leaguel-cup/ناساف كارشي.png
