name,img
أركاداغ,teams_images/أركاداغ.png
استقلال دوشنبه,teams_images/استقلال دوشنبه.png
استقلال طهران,teams_images/استقلال طهران.png
الأهلي,teams_images/الأهلي0.png
الحسين,teams_images/الحسين.png
الخالدية,teams_images/الخالدية.png
الزوراء,teams_images/الزوراء.png
المحرق,teams_images/المحرق.png
النصر,teams_images/النصر.png
الوحدات,teams_images/الوحدات.png
الوصل,teams_images/الوصل.png
أنديجان,teams_images/أنديجان.png
أهال,teams_images/أهال.png
إيسترن,teams_images/إيسترن.png
بانكوك باثوم,teams_images/بانكوك باثوم.png
بانكوك يونايتد,teams_images/بانكوك يونايتد.png
بكين غوان,teams_images/بكين غوان.png
بكين غوان,teams_images/بكين غوان.png
بوهانغ ستيلرز,teams_images/بوهانغ ستيلرز.png
بيرسيب,teams_images/بيرسيب.png
تامبينس روفرز,teams_images/تامبينس روفرز.png
تاي بو,teams_images/تاي بو.png
راتشابوري,teams_images/راتشابوري.png
سباهان أصفهان,teams_images/سباهان أصفهان.png
سيلانغور,teams_images/سيلانغور.png
غامبا أوساكا,teams_images/غامبا أوساكا.png
غوا,teams_images/غوا.png
كايا,teams_images/كايا.png
كونغ آن هانوي,teams_images/كونغ آن هانوي.png
ليون سيتي سيلورز,teams_images/ليون سيتي سيلورز.png
ماكارثر,teams_images/ماكارثر.png
موهون باغان,teams_images/موهون باغان.png
نام دينه,teams_images/نام دينه.png
