name,img
الجزائر,teams_images/الجزائر.png
السنغال,teams_images/السنغال.png
السودان,teams_images/السودان.png
الغابون,teams_images/الغابون.png
الكاميرون,teams_images/الكاميرون.png
الكونغو الديمقراطية,teams_images/الكونغو الديمقراطية.png
المغرب,teams_images/المغرب.png
أنغولا,teams_images/أنغولا.png
أوغندا,teams_images/أوغندا.png
بنين,teams_images/بنين.png
بوتسوانا,teams_images/بوتسوانا.png
بوركينا فاسو,teams_images/بوركينا فاسو.png
تنزانيا,teams_images/تنزانيا.png
تونس,teams_images/تونس.png
جزر القمر,teams_images/جزر القمر.png
جنوب أفريقيا,teams_images/جنوب أفريقيا.png
زامبيا,teams_images/زامبيا.png
زيمبابوي,teams_images/زيمبابوي.png
ساحل العاج,teams_images/ساحل العاج.png
غينيا الاستوائية,teams_images/غينيا الاستوائية.png
مالي,teams_images/مالي.png
مصر,teams_images/مصر.png
موزمبيق,teams_images/موزمبيق.png
نيجيريا,teams_images/نيجيريا.png
