name,img
الأردن,teams_images/الأردن.png
الإمارات,teams_images/الإمارات.png
البحرين,teams_images/البحرين.png
الجزائر,teams_images/الجزائر.png
السعودية,teams_images/السعودية.png
السودان,teams_images/السودان.png
العراق,teams_images/العراق.png
الكويت,teams_images/الكويت.png
المغرب,teams_images/المغرب.png
تونس,teams_images/تونس.png
جزر القمر,teams_images/جزر القمر.png
سوريا,teams_images/سوريا.png
عمان,teams_images/عمان.png
فلسطين,teams_images/فلسطين.png
قطر,teams_images/قطر.png
مصر,teams_images/مصر.png
