name,img
أستراليا,teams_images/أستراليا.png
الأردن,teams_images/الأردن.png
الإمارات,teams_images/الإمارات.png
البحرين,teams_images/البحرين.png
السعودية,teams_images/السعودية.png
الصين,teams_images/الصين.png
العراق,teams_images/العراق.png
الكويت,teams_images/الكويت.png
اليابان,teams_images/اليابان.png
اليمن,teams_images/اليمن.png
إندونيسيا,teams_images/إندونيسيا.png
أوزبكستان,teams_images/أوزبكستان.png
إيران,teams_images/إيران.png
تايلاند,teams_images/تايلاند.png
سنغافورة,teams_images/سنغافورة.png
سوريا,teams_images/سوريا.png
طاجيكستان,teams_images/طاجيكستان.png
عمان,teams_images/عمان.png
فلسطين,teams_images/فلسطين.png
فيتنام,teams_images/فيتنام.png
قرغيزستان,teams_images/قرغيزستان.png
قطر,teams_images/قطر.png
كوريا الجنوبية,teams_images/كوريا الجنوبية.png
كوريا الشمالية,teams_images/كوريا الشمالية.png
