name,img
مانشستر يونايتد,teams_images/مانشستر يونايتد.png
ارسنال,teams_images/ارسنال.png
استون فيلا,teams_images/استون فيلا.png
ايفرتون,teams_images/ايفرتون.png
برايتون اندهوف البيون,teams_images/برايتون اندهوف البيون.png
برينتفورد,teams_images/برينتفورد.png
بورنموث,teams_images/بورنموث.png
بيرنلي,teams_images/بيرنلي.png
تشلسي,teams_images/تشلسي.png
توتنهام هوتسبير,teams_images/توتنهام هوتسبير.png
سندرلاند,teams_images/سندرلاند.png
فولهام,teams_images/فولهام.png
كريستال بلاس,teams_images/كريستال بلاس.png
ليدز يونايتد,teams_images/ليدز يونايتد.png
ليفربول,teams_images/ليفربول.png
مانشستر سيتي,teams_images/مانشستر سيتي.png
مانشستر يونايتد,teams_images/مانشستر يونايتد.png
نوتينغهام فورست,teams_images/نوتينغهام فورست.png
نيوكاسل يونايتد,teams_images/نيوكاسل يونايتد.png
وست هام يونايتد,teams_images/وست هام يونايتد.png
وولفرهامبتون,teams_images/وولفرهامبتون.png
إيبسويتش تاون,teams_images/إيبسويتش تاون.png
كوفنتري سيتي,teams_images/كوفنتري سيتي.png
ليفربول,teams_images/ليفربول.png
ليفربول,teams_images/ليفربول.png
