name,img
اتلتيك بلباو,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/frn/اتلتيك_بلباو.png
اتلتيكو مدريد,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/frn/اتلتيكو_مدريد.png
اسبانيول,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/frn/اسبانيول.png
اشبيليه,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/frn/اشبيليه.png
التشي,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/frn/التشي.png
اوساسونا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/frn/اوساسونا.png
برشلونه,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/frn/برشلونه.png
جيرونا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/frn/جيرونا.png
خيتافي,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/frn/خيتافي.png
ديبورتيفو الافيس,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/frn/ديبورتيفو_الافيس.png
رايو فايكانو,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/frn/رايو_فايكانو.png
ريال اوفييدو,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/frn/ريال_اوفييدو.png
ريال بيتيس,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/frn/ريال بيتيس.png
ريال سوسييداد,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/frn/ريال_سوسييداد.png
ريال مايوركا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/frn/ريال_مايوركا.png
ريال مايوركا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/frn/ريال_مايوركا.png
ريال مدريد,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/frn/ريال_مدريد.png
سيلتا دي فيغو,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/frn/سيلتا_دي_فيغو.png
فالنسيا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/frn/فالنسيا.png
فياريال,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/frn/فياريال.png
ليفانتي,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/frn/ليفانتي.png
