name,img
الاتحاد,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/saudi-league/الاتحاد.png
الاتفاق,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/saudi-league/الاتفاق.png
الأخدود,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/saudi-league/الأخدود.png
الأهلي,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/saudi-league/الأهلي.png
التعاون,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/saudi-league/التعاون.png
الحزم,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/saudi-league/الحزم.png
الخلود,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/saudi-league/الخلود.png
الخليج,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/saudi-league/الخليج.png
الرياض,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/saudi-league/الرياض.png
الشباب,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/saudi-league/الشباب.png
الفتح,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/saudi-league/الفتح.png
الفيحاء,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/saudi-league/الفيحاء.png
القادسية,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/saudi-league/القادسية.png
النجمة,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/saudi-league/النجمة.png
النصر,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/saudi-league/النصر.png
الهلال,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/saudi-league/الهلال.png
ضمك,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/saudi-league/ضمك.png
نيوم,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/saudi-league/نيوم.png
