name,img
أستون فيلا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/أستون فيلا.png
أوترخت,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/أوترخت.png
أولمبيك ليون,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/أولمبيك ليون.png
بازل,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/بازل.png
باناثينايكوس,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/باناثينايكوس.png
باوك,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/باوك.png
بران,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/بران.png
بورتو,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/بورتو.png
بولونيا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/بولونيا.png
جلاسكو رينجرز,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/جلاسكو رينجرز.png
جينك,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/جينك.png
دينامو زغرب,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/دينامو زغرب.png
روما,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/روما.png
ريال بيتيس,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/ريال بيتيس.png
ريد بول سالزبورغ,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/ريد بول سالزبورغ.png
سبورتينغ براغا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/سبورتينغ براغا.png
ستيوا بوخارست,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/ستيوا بوخارست.png
سرفينا زفيزدا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/سرفينا زفيزدا.png
سيلتا دي فيغو,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/سيلتا دي فيغو.png
سيلتك,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/سيلتك.png
شتوتغارت,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/شتوتغارت.png
شتورم غراتس,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/شتورم غراتس.png
غو أهد إيغلز,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/غو أهد إيغلز.png
فاينورد,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/فاينورد.png
فرايبورغ,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/فرايبورغ.png
فنربخشة,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/فنربخشة.png
فيرينتسفاروشي,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/فيرينتسفاروشي.png
فيكتوريا بلزن,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/فيكتوريا بلزن.png
لودوغورتس,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/لودوغورتس.png
ليل,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/ليل.png
ماكابي تل أبيب,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/ماكابي تل أبيب.png
مالمو,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/مالمو.png
ميتييلاند,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/ميتييلاند.png
نوتينغهام فورست,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/نوتينغهام فورست.png
نيس,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/نيس.png
يونغ بويز,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/uefa-europa-league/يونغ بويز.png
