name,img
الأرجنتين,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/الأرجنتين.png
الإمارات,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/الإمارات.png
البرازيل,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/البرازيل.png
البرتغال,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/البرتغال.png
التشيك,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/التشيك.png
السعودية,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/السعودية.png
السلفادور,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/السلفادور.png
السنغال,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/السنغال.png
ألمانيا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/ألمانيا.png
المغرب,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/المغرب.png
المكسيك,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/المكسيك.png
النمسا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/النمسا.png
الولايات المتحدة,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/الولايات المتحدة.png
اليابان,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/اليابان.png
إنجلترا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/إنجلترا.png
إندونيسيا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/إندونيسيا.png
أوزبكستان,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/أوزبكستان.png
أوغندا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/أوغندا.png
أيرلندا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/أيرلندا.png
إيطاليا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/إيطاليا.png
باراغواي,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/باراغواي.png
بلجيكا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/بلجيكا.png
بنما,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/بنما.png
بوركينا فاسو,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/بوركينا فاسو.png
بوليفيا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/بوليفيا.png
تشيلي,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/تشيلي.png
تونس,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/تونس.png
جنوب أفريقيا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/جنوب أفريقيا.png
زامبيا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/زامبيا.png
ساحل العاج,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/ساحل العاج.png
سويسرا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/سويسرا.png
طاجيكستان,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/طاجيكستان.png
فرنسا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/فرنسا.png
فنزويلا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/فنزويلا.png
فيجي,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/فيجي.png
قطر,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/قطر.png
كاليدونيا الجديدة,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/كاليدونيا الجديدة.png
كرواتيا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/كرواتيا.png
كندا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/كندا.png
كوريا الجنوبية,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/كوريا الجنوبية.png
كوريا الشمالية,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/كوريا الشمالية.png
كوستاريكا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/كوستاريكا.png
كولومبيا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/كولومبيا.png
مالي,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/مالي.png
مصر,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/مصر.png
نيوزيلندا,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/نيوزيلندا.png
هايتي,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/هايتي.png
هندوراس,https://raw.githubusercontent.com/falahsab/jedwal/refs/heads/main/img/world-cup-u17/هندوراس.png
