name,img
آيك أثينا,teams_images/آيك أثينا.png
أستون فيلا,teams_images/أستون فيلا.png
أتلتيكو مدريد,teams_images/اتلتيكو مدريد.png
آرسنال,teams_images/آرسنال.png
إنتر ميلان,teams_images/إنتر ميلان.png
أولمبياكوس,teams_images/أولمبياكوس بيرايوس.png
أياكس أمستردام,teams_images/أياكس أمستردام.png
آينتراخت ,teams_images/آينتراخت فرانكفورت.png
آيندهوفن,teams_images/آيندهوفن.png
باريس س. جيرمان,teams_images/باريس سان جيرمان.png
بافوس,teams_images/بافوس.png
باير ليفركوزن,teams_images/باير ليفركوزن.png
بايرن ميونخ,teams_images/بايرن ميونخ.png
برشلونة,teams_images/برشلونة.png
بنفيكا,teams_images/بنفيكا.png
بودو غليمت,teams_images/بودو غليمت.png
دورتموند,teams_images/بوروسيا دورتموند.png
تشيلسي,teams_images/تشيلسي.png
توتنهام هوتسبير,teams_images/توتنهام هوتسبير.png
ريال مدريد,teams_images/ريال مدريد.png
سانت خيلويزي,teams_images/سانت خيلويزي.png
سبورتينغ لشبونة,teams_images/سبورتينغ لشبونة.png
سلافيا براغ,teams_images/سلافيا براغ.png
غلطة سراي,teams_images/غلطة سراي.png
فياريال,teams_images/فياريال.png
كاراباخ,teams_images/كاراباخ.png
كايرات,teams_images/كايرات.png
كلوب بروج,teams_images/كلوب بروج.png
كوبنهاغن,teams_images/كوبنهاغن.png
ليفربول,teams_images/ليفربول.png
مارسيليا,teams_images/مارسيليا.png
مانشستر سيتي,teams_images/مانشستر سيتي.png
موناكو,teams_images/موناكو.png
نابولي,teams_images/نابولي.png
نيوكاسل,teams_images/نيوكاسل يونايتد.png
يوفنتوس,teams_images/يوفنتوس.png
كومو,teams_images/كومو.png
فنربخشة,teams_images/فنربخشة.png
فاينورد,teams_images/فاينورد.png
لاسك,teams_images/لاسك.png
لانس,teams_images/لانس.png
ليل,teams_images/ليل.png
بورتو,teams_images/بورتو.png
لايبزيغ,teams_images/لايبزيغ.png
ريال بيتيس,teams_images/ريال بيتيس.png
روما,teams_images/روما.png
صباح,teams_images/صباح.png
شاختار دونيتسك,teams_images/شاختار دونيتسك.png
سلوفان براتيسلافا,teams_images/سلوفان براتيسلافا.png
شتوتغارت,teams_images/شتوتغارت.png
فايكنغ,teams_images/فايكنغ.png
